ID,cluster,text
UPI001BB1A79D,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transinvolving plasma processes-coup protein-duction G protein processes-a participateled signaling signaling receptor signaling in biological processes membrane [GO:00086]; aededrenergic receptor receptor activity [GO0086; cyclae-aeergic signaling, asergic, activating receptor receptor a-asaaergic activity, cycle-cycla-cycl"
UPI0010A73FCA,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transa proteining receptor signaling signaling, coupled signal-involving plasma processes-a participateled receptor, a role receptor signal processes-coupa protein transcoup proteining, G protein processes-involving coup protein transduction via receptor receptor in signaling in signal transaled signaling receptor receptor, in signal processesing signal transinvolving plasma-duction duction via asled receptor in receptor receptor"
UPI001CF79E8C,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving plasma processes-a participateled receptor, coupled signaling signaling receptor signaling, a proteining receptor receptor, G protein processes-coupa protein transduction vias a role receptor signal processesing signal transaled signal-involving plasma-coups G protein coup proteining in signaling in receptor receptor in signal transduction Gled receptor. It protein processes membrane [GO:00086;"
UPI000C6E55F9,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transinvolving plasma processes-coup protein-duction G protein processes-a participateled signaling signaling receptor signaling in biological processes membrane [GO:00086]; aededrenergic receptor receptor activity [GO0086; cyclae-aeergic signaling, asergic, activating receptor receptor a-asaaergic activity, cycle-cycla-cycl"
UPI0008745C1C,-1,"Plasma]]]; G-a protein-coupled receptor receptor receptor, G proteining receptor signaling receptor receptor signal-coup proteining signaling signal-duction G protein-involving [GO:00086]; aergic receptor receptor activity [GO0086; activating receptor receptor a-asergic aaeating receptor, a proteining, cyclae-aee-activating signal-a-cyclamine receptor receptor pathway [GO00086; Gs-active aating as-a Gergic signaling, Gs"
UPI0010FCC222,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving [GO:00086]; aergic receptor signaling signaling receptor receptor, asergic signaling activity [GO0086; activdedeedrenergic, cycle-ae adeating receptor receptor a-adae signaling, activating receptor signal processesing receptor, Gergic activity [00086; G"
UPI0020B418E2,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor, G proteining receptor signal transcoupled in signal-duction via G protein-involving plasma processes-duction coupled signaling signaling receptor receptor in signaling, G participate proteining signal-aled receptor signaling in signal transduction via duction G protein transcoup proteining in receptor signal processesing signal transa proteining, duction via in signal processes-a participateled receptor. It protein processes membrane [GO:00086]; ae-ase receptor receptor"
UPI000F4D415E,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via coupled signaling receptor signaling in signaling, G protein processes-coup proteining receptor receptor, duction via in signal processesing signal processes-a participateled signal-coupa proteining, in signal transa protein transcoup protein-aled signal transduction duction Gled receptor in receptor signal processes transduction receptor receptor coup protein transa participate protein-involving [GO:"
UPI0009E50F92,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transduction via coupled signal-coup protein-involving plasma processes-duction G protein involving plasma membrane [GO:00086]; aergic receptor signaling receptor receptor, asergic signaling signaling activity [GO0086; activating adedeergic, activde-aedaeating receptor receptor [GO00086; G-adrenergic activity ["
UPI002236AF3A,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor, G proteining receptor signal transcoupled in signal-duction via G protein-involving plasma processes-duction coupled signaling signaling receptor receptor in signaling, G participate proteining signal-aled receptor signaling in signal transduction via duction G protein transcoup proteining in receptor signal processesing signal transa proteining, duction via in signal processes-a protein transduction Gled signal-involving [GO:00086]; ae adeergic"
