Entry,Function [CC],Keywords,Gene Ontology (GO),Gene Names,Organism,Protein names,Binding site,Pathway,Activity regulation
A0A8C5HYG5,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb3a,Gouania willdenowi (Blunt-snouted clingfish) (Lepadogaster willdenowi),Beta-1 adrenergic receptor-like,,,
A0A914B379,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Patiria miniata (Bat star) (Asterina miniata),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A7L2VGH2,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],Adrb2 BRALEP_R06086,Brachypteracias leptosomus (short-legged ground-roller),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A852N898,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Drd5_1 PTEMEL_R10426,Pteruthius melanotis,DRD5 protein,,,
A0A2I4BIL8,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb3a,Austrofundulus limnaeus (Annual killifish),Adrenoceptor beta 3a,,,
A0A3P9IHN0,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adrenergic receptor signaling pathway [GO:0071875],,Oryzias latipes (Japanese rice fish) (Japanese killifish),Adrenoceptor beta 3a,,,
A0A6I8PG82,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. This receptor binds epinephrine and norepinephrine with approximately equal affinity. Mediates Ras activation through G(s)-alpha- and cAMP-mediated signaling. Involved in the regulation of sleep/wake behaviors. {ECO:0000256|ARBA:ARBA00045239}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"early endosome [GO:0005769]; neuronal dense core vesicle [GO:0098992]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]; alpha-2A adrenergic receptor binding [GO:0031694]; beta1-adrenergic receptor activity [GO:0004940]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; brown fat cell differentiation [GO:0050873]; diet induced thermogenesis [GO:0002024]; fear response [GO:0042596]; heat generation [GO:0031649]; negative regulation of multicellular organism growth [GO:0040015]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of heart rate by epinephrine-norepinephrine [GO:0001996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of the force of heart contraction by epinephrine-norepinephrine [GO:0001997]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; response to cold [GO:0009409]",ADRB1,Ornithorhynchus anatinus (Duckbill platypus),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A6D2WDU2,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb2a,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A7R9RSL2,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989],AFOL1_LOCUS47770,Argulus foliaceus,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A2P2I1E8,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Hirondellea gigas,5-hydroxytryptamine receptor 2A-like,,,
A0A2R9AU01,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; receptor complex [GO:0043235]; beta-3 adrenergic receptor binding [GO:0031699]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; G protein activity [GO:0003925]; norepinephrine binding [GO:0051380]; protein homodimerization activity [GO:0042803]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; brown fat cell differentiation [GO:0050873]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of lipid catabolic process [GO:0050996]; response to cold [GO:0009409],ADRB3,Pan paniscus (Pygmy chimpanzee) (Bonobo),Beta-3 adrenergic receptor (Beta-3 adrenoreceptor),,,
